Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
0,-99.33181473041681,-79.73157698579394,-58.67063037959411,-100.0,-60.08667975005013,-100.0,-55.796463170813794,-100.0,-42.668837709892586,-86.19279760908739,-50.04848091528053,-86.63506384286273,-51.40225460369947,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.0006437610476,-97.69189886887102,-60.473688344672844,-100.0,-100.0,-100.0
1,-99.33181473041681,-79.73157698579394,-49.95045353012612,-100.0,-55.63079839414074,-100.0,-55.647401585440775,-100.0,-65.232224547488,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.02007148750579,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.01609374099401,-97.69189886887102,-61.226570471587834,-100.0,-100.0,-100.0
2,-99.33181473041681,-79.73157698579394,-50.072414057904716,-100.0,-55.576623550359415,-100.0,-55.511891041173286,-100.0,-65.68194153560377,-86.19279760908739,-70.97608273831207,-86.63506384286273,-73.63211438045974,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.01609374099401,-97.69189886887102,-59.595325850422846,-100.0,-100.0,-100.0
3,-99.33181473041681,-79.73157698579394,-50.01143380650417,-100.0,-55.67142953807174,-100.0,-55.52544210448085,-100.0,-63.681476312781285,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.77618916603744,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.01609374099401,-97.69189886887102,-61.63438160760529,-100.0,-100.0,-100.0
4,-99.33181473041681,-79.73157698579394,-50.01143380650417,-100.0,-55.67142953807174,-100.0,-55.63385052213321,-100.0,-64.25525315977521,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.77618916603744,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-23.99639501306067,-97.69189886887102,-61.63438160760529,-100.0,-100.0,-100.0
5,-99.33181473041681,-79.73157698579394,-49.996188731165276,-100.0,-55.563079828319076,-100.0,-55.511891041173286,-100.0,-63.77452120503435,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.77618916603744,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.304493380441986,-97.69189886887102,-61.63438160760529,-100.0,-100.0,-100.0
6,-99.33181473041681,-79.73157698579394,-50.087659108266095,-100.0,-55.698516959962404,-100.0,-55.52544210448085,-100.0,-66.41079320810097,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.77618916603744,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-24.202394759742383,-97.69189886887102,-61.63438160760529,-100.0,-100.0,-100.0
7,-99.33181473041681,-79.73157698579394,-50.087659108266095,-100.0,-55.72560438185306,-100.0,-55.66095264874834,-100.0,-66.938047607698,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.77618916603744,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-24.202394759742383,-97.69189886887102,-61.50890126596865,-100.0,-100.0,-100.0
8,-99.33181473041681,-79.73157698579394,-49.996188731165276,-100.0,-55.6578858160314,-100.0,-55.647401585440775,-100.0,-65.89904628927574,-86.19279760908739,-70.97608273831207,-86.63506384286273,-74.44322243679952,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-24.202394759742383,-97.69189886887102,-62.873500122608206,-100.0,-100.0,-100.0
9,-99.33181473041681,-79.73157698579394,-50.02667885686555,-100.0,-55.576623550359415,-100.0,-55.511891041173286,-100.0,-65.89904628927574,-86.19279760908739,-70.97608273831207,-86.63506384286273,-72.02364586279535,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-24.202394759742383,-97.69189886887102,-62.700964640008635,-100.0,-100.0,-100.0
10,-99.33181473041681,-79.73157698579394,-50.02667885686555,-100.0,-55.52244870657808,-100.0,-55.511891041173286,-100.0,-65.89904628927574,-86.19279760908739,-70.97608273831207,-86.63506384286273,-72.02364586279535,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-23.913995116075533,-97.69189886887102,-62.700964640008635,-100.0,-100.0,-100.0
11,-99.33181473041681,-79.73157698579394,-50.13339430930525,-100.0,-55.53599240642841,-100.0,-55.60674841772012,-100.0,-65.89904628927574,-86.19279760908739,-70.97608273831207,-86.63506384286273,-72.02364586279535,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.690742897665288,-97.4033862274177,-63.35973648499776,-100.0,-100.0,-100.0
12,-99.33181473041681,-79.73157698579394,-50.11814923396636,-100.0,-55.617254694290416,-100.0,-55.63385052213321,-100.0,-65.89904628927574,-86.19279760908739,-70.97608273831207,-86.63506384286273,-71.95490789222451,-73.59965262818211,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-24.98519378025741,-97.67671399282173,-66.19872951005813,-100.0,-100.0,-100.0
13,-99.33181473041681,-79.73157698579394,-50.102904183604984,-57.17563758304043,-55.53599240642841,-56.95737705128819,-55.57964631330703,-57.06140637688508,-63.37132666431549,-75.05897153455304,-70.97608273831207,-72.32204296910217,-71.95490789222451,-60.22579244640595,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-23.63589546691485,-97.67671399282173,-66.27715473643022,-100.0,-100.0,-100.0
14,-99.33181473041681,-79.73157698579394,-50.11814923396636,-57.22808627628528,-55.63079839414074,-57.20655738587514,-55.57964631330703,-57.06140637688508,-66.938047607698,-73.91099229414786,-70.97608273831207,-76.8789662808483,-72.00989826778022,-60.22579244640595,-97.97445362754839,-97.87089435542913,-74.58249082678766,-80.6241316699861,-93.69652024993411,-25.1242436065253,-97.67671399282173,-60.897184536244076,-100.0,-100.0,-100.0
15,-96.79574791270457,-61.252640734318945,-58.4571994747147,-62.512292668521354,-55.63079839414074,-57.2459016333983,-55.53899316778842,-57.022085335222314,-90.92812281858123,-92.32583739584166,-70.97608273831207,-75.62504778612383,-71.59747044210278,-60.22579244640595,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-23.223895981989166,-97.28190722051617,-61.30499567226154,-100.0,-100.0,-100.0
16,-96.79574791270457,-59.79868273909095,-100.0,-100.0,-100.0,-100.0,-99.9728978933667,-100.0,-80.70869194317459,-86.19279760908739,-84.04977375469167,-86.63506384286273,-85.24883145423226,-73.59965262818211,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-23.342345834432656,-97.28190722051617,-60.58348365645409,-100.0,-100.0,-100.0
17,-96.79574791270457,-54.840313155649895,-50.05716898256583,-56.93961844195555,-56.99871334385432,-56.76065572772358,-62.626194193377756,-67.56012845215771,-66.86051019621674,-75.2162289668985,-51.06658047772562,-72.39850141362746,-54.976629082392776,-48.41511072743478,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-25.247843452003007,-97.28190722051617,-62.35589364911112,-100.0,-100.0,-100.0
18,-96.79574791270457,-55.98359637535256,-50.05716898256583,-56.87405756465799,-55.739148103893406,-57.23278689138631,-55.52544210448085,-56.99587127881442,-63.898581063912516,-75.82953294454332,-72.81835811205815,-75.38038076264075,-72.22985977450787,-60.54059921994297,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-22.97154629378067,-97.28190722051617,-62.183358166511546,-100.0,-100.0,-100.0
19,-96.79574791270457,-55.98359637535256,-50.072414057904716,-57.09696452169015,-55.54953612846875,-57.0491803313209,-55.5931973766146,-57.03519234195172,-67.01558501917926,-71.56785658131503,-71.07304460064559,-72.68904350432679,-72.11987902114404,-60.54059921994297,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-22.95094632164382,-97.28190722051617,-62.183358166511546,-100.0,-100.0,-100.0
20,-96.79574791270457,-55.75991052492117,-50.102904183604984,-56.87405756465799,-55.6578858160314,-56.85245900775629,-55.60674841772012,-57.022085335222314,-64.58091028901282,-71.75656549652247,-71.07304460064559,-76.12967352299722,-71.76244157327471,-60.54059921994297,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-20.025749982890332,-97.28190722051617,-66.66928084259229,-100.0,-100.0,-100.0
21,-96.79574791270457,-56.72921584964381,-50.04192393220444,-57.01829148182285,-55.59016727239975,-57.23278689138631,-55.57964631330703,-57.04829937015567,-64.72047763120354,-72.0239031291909,-71.07304460064559,-75.36508907273354,-74.731921914098,-60.54059921994297,-97.97445362754839,-97.38769307418649,-74.58249082678766,-80.6241316699861,-93.38277238808361,-25.010943747959793,-97.28190722051617,-66.95161163697311,-100.0,-100.0,-100.0
22,-94.38116932333756,-48.46526656087545,-49.98094365582639,-57.13630105236528,-55.59016727239975,-57.19344262237595,-55.66095264874834,-57.03519234195172,-64.8135225234566,-73.80091209124839,-71.07304460064559,-76.57313250274714,-72.40857849844254,-60.54059921994297,-97.97445362754839,-95.03208683057164,-58.76582041668722,-80.6241316699861,-90.94409583573554,-26.988541275603083,-94.91306658469249,-69.257313158681,-100.0,-100.0,-100.0
23,-94.38116932333756,-53.013545411060235,-50.072414057904716,-57.09696452169015,-55.54953612846875,-57.20655738587514,-55.552544208893934,-57.11383444675178,-65.26323951157237,-76.85170624319453,-71.12152553181235,-74.87575502576736,-72.40857849844254,-60.54059921994297,-97.97445362754839,-95.03208683057164,-48.46101999798542,-80.6241316699861,-90.95835710067514,-20.468649426021287,-94.91306658469249,-67.07709197860976,-100.0,-100.0,-100.0
24,-94.38116932333756,-51.17435069287778,-50.072414057904716,-56.900281911280416,-55.54953612846875,-57.11475410584243,-55.5931973766146,-57.100727440022375,-68.31821353867039,-73.21905959904205,-71.38009049626993,-74.87575502576736,-72.54605443958421,-60.54059921994297,-97.97445362754839,-95.03208683057164,-48.46101999798542,-80.6241316699861,-90.95835710067514,-26.31904211280979,-94.91306658469249,-67.07709197860976,-100.0,-100.0,-100.0
25,-94.38116932333756,-53.63489498654299,-50.13339430930525,-56.87405756465799,-55.59016727239975,-56.97049179330017,-55.57964631330703,-57.04829937015567,-67.55834690208883,-73.81663783525589,-71.38009049626993,-76.8789662808483,-75.15809733253818,-60.54059921994297,-97.97445362754839,-95.03208683057164,-48.19141766451709,-80.6241316699861,-90.83000570453589,-26.31904211280979,-94.91306658469249,-67.07709197860976,-100.0,-100.0,-100.0
